id,continent,region,area,terrain,religion,climate,culture,goods,name,colonization_difficulty,income,manpower,size_modifier
0,,,,terra_incognita,,,,,Terra_Incognita,,,,
1,America,North America,Alaska,mountain,pagan,arctic,inuit,fur,Yukon,9,1,1,0.00
1,America,North America,Alaska,mountain,pagan,arctic,inuit,fur,Yukon,9,1,1,0.00
1,America,North America,Alaska,mountain,pagan,arctic,inuit,fur,Yukon,9,1,1,0.00
2,America,North America,Alaska,mountain,pagan,arctic,inuit,fur,Kitimat,8,1,1,0.00
2,America,North America,Alaska,mountain,pagan,arctic,inuit,fur,Kitimat,8,1,1,0.00
2,America,North America,Alaska,mountain,pagan,arctic,inuit,fur,Kitimat,8,1,1,0.00
3,America,North America,Alaska,forest,pagan,arctic,inuit,fur,Sitka,7,1,1,0.00
3,America,North America,Alaska,forest,pagan,arctic,inuit,fur,Sitka,7,1,1,0.00
3,America,North America,Alaska,forest,pagan,arctic,inuit,fur,Sitka,7,1,1,0.00
4,America,North America,Oregon,mountain,pagan,ncontinental,navajo,fur,Nanaimo,7,2,1,0.00
4,America,North America,Oregon,mountain,pagan,ncontinental,navajo,fur,Nanaimo,7,2,1,0.00
4,America,North America,Oregon,mountain,pagan,ncontinental,navajo,fur,Nanaimo,7,2,1,0.00
5,America,North America,Oregon,mountain,pagan,ncontinental,navajo,fur,Olympia,6,3,1,0.00
5,America,North America,Oregon,mountain,pagan,ncontinental,navajo,fur,Olympia,6,3,1,0.00
5,America,North America,Oregon,mountain,pagan,ncontinental,navajo,fur,Olympia,6,3,1,0.00
6,America,North America,Oregon,forest,pagan,ncontinental,navajo,fur,Columbia,4,5,1,0.00
6,America,North America,Oregon,forest,pagan,ncontinental,navajo,fur,Columbia,4,5,1,0.00
6,America,North America,Oregon,forest,pagan,ncontinental,navajo,fur,Columbia,4,5,1,0.00
7,America,North America,Oregon,forest,pagan,ncontinental,navajo,fur,Nehalem,5,3,1,0.00
7,America,North America,Oregon,forest,pagan,ncontinental,navajo,fur,Nehalem,5,3,1,0.00
7,America,North America,Oregon,forest,pagan,ncontinental,navajo,fur,Nehalem,5,3,1,0.00
8,America,North America,California,plains,pagan,temperate,navajo,wine,Sacramento,2,7,2,0.00
8,America,North America,California,plains,pagan,temperate,navajo,wine,Sacramento,2,7,2,0.00
8,America,North America,California,plains,pagan,temperate,navajo,wine,Sacramento,2,7,2,0.00
9,America,North America,California,mountain,pagan,temperate,navajo,wine,Monterey,4,5,1,0.00
9,America,North America,California,mountain,pagan,temperate,navajo,wine,Monterey,4,5,1,0.00
9,America,North America,California,mountain,pagan,temperate,navajo,wine,Monterey,4,5,1,0.00
10,America,North America,California,mountain,pagan,temperate,navajo,wool,Sierra_Madre,4,4,1,0.00
10,America,North America,California,mountain,pagan,temperate,navajo,wool,Sierra_Madre,4,4,1,0.00
10,America,North America,California,mountain,pagan,temperate,navajo,wool,Sierra_Madre,4,4,1,0.00
11,America,North America,California,desert,pagan,temperate,navajo,wool,San_Bernardino,3,5,2,0.00
11,America,North America,California,desert,pagan,temperate,navajo,wool,San_Bernardino,3,5,2,0.00
11,America,North America,California,desert,pagan,temperate,navajo,wool,San_Bernardino,3,5,2,0.00
12,America,Central America,Sonora,mountain,pagan,desertic,navajo,wool,Ensenada,8,1,1,0.00
12,America,Central America,Sonora,mountain,pagan,desertic,navajo,wool,Ensenada,8,1,1,0.00
12,America,Central America,Sonora,mountain,pagan,desertic,navajo,wool,Ensenada,8,1,1,0.00
13,America,Central America,Sonora,mountain,pagan,desertic,navajo,wool,Baja,8,1,1,0.00
13,America,Central America,Sonora,mountain,pagan,desertic,navajo,wool,Baja,8,1,1,0.00
13,America,Central America,Sonora,mountain,pagan,desertic,navajo,wool,Baja,8,1,1,0.00
14,America,North America,Nevada,desert,pagan,desertic,navajo,salt,Salton,9,1,1,0.00
14,America,North America,Nevada,desert,pagan,desertic,navajo,salt,Salton,9,1,1,0.00
14,America,North America,Nevada,desert,pagan,desertic,navajo,salt,Salton,9,1,1,0.00
15,America,Central America,Sonora,desert,pagan,desertic,navajo,gold,Altar,6,1,1,0.00
15,America,Central America,Sonora,desert,pagan,desertic,navajo,gold,Altar,6,1,1,0.00
15,America,Central America,Sonora,desert,pagan,desertic,navajo,gold,Altar,6,1,1,0.00
16,America,North America,Nevada,desert,pagan,desertic,navajo,wool,Canyon,9,1,1,0.00
16,America,North America,Nevada,desert,pagan,desertic,navajo,wool,Canyon,9,1,1,0.00
16,America,North America,Nevada,desert,pagan,desertic,navajo,wool,Canyon,9,1,1,0.00
17,America,Central America,Sonora,desert,pagan,desertic,navajo,wool,Empalme,7,1,1,0.00
17,America,Central America,Sonora,desert,pagan,desertic,navajo,wool,Empalme,7,1,1,0.00
17,America,Central America,Sonora,desert,pagan,desertic,navajo,wool,Empalme,7,1,1,0.00
18,America,North America,Nevada,mountain,pagan,desertic,navajo,wool,Arizona,9,1,1,0.00
18,America,North America,Nevada,mountain,pagan,desertic,navajo,wool,Arizona,9,1,1,0.00
18,America,North America,Nevada,mountain,pagan,desertic,navajo,wool,Arizona,9,1,1,0.00
19,America,North America,Nevada,mountain,pagan,temperate,navajo,wool,Pinalero,8,1,1,0.00
19,America,North America,Nevada,mountain,pagan,temperate,navajo,wool,Pinalero,8,1,1,0.00
19,America,North America,Nevada,mountain,pagan,temperate,navajo,wool,Pinalero,8,1,1,0.00
20,America,Central America,Sonora,desert,pagan,desertic,navajo,wool,Chihuahua,7,1,1,0.00
20,America,Central America,Sonora,desert,pagan,desertic,navajo,wool,Chihuahua,7,1,1,0.00
20,America,Central America,Sonora,desert,pagan,desertic,navajo,wool,Chihuahua,7,1,1,0.00
21,America,Central America,Sonora,mountain,pagan,desertic,navajo,grain,Mazatlan,7,1,1,0.00
21,America,Central America,Sonora,mountain,pagan,desertic,navajo,grain,Mazatlan,7,1,1,0.00
21,America,Central America,Sonora,mountain,pagan,desertic,navajo,grain,Mazatlan,7,1,1,0.00
22,America,North America,Nevada,plains,pagan,temperate,navajo,wool,El_Paso,7,2,1,0.00
22,America,North America,Nevada,plains,pagan,temperate,navajo,wool,El_Paso,7,2,1,0.00
