id,continent,region,area,terrain,religion,climate,culture,goods,name,colonization difficulty,manpower,tax
1,America,NorthAmerica,Alaska,mountain,pagan,arctic,inuit,gold,Yukon,9,1,1
2,America,NorthAmerica,Alaska,mountain,pagan,arctic,inuit,fur,Kitimat,8,1,1
3,America,NorthAmerica,Alaska,forest,pagan,arctic,salishan,fur,Sitka,7,1,1
4,America,NorthAmerica,Oregon,mountain,pagan,ncontinental,salishan,fish,Nanaimo,7,1,2
5,America,NorthAmerica,Oregon,mountain,pagan,ncontinental,salishan,naval supplies,Olympia,6,1,3
6,America,NorthAmerica,Oregon,forest,pagan,ncontinental,salishan,fur,Columbia,4,1,5
7,America,NorthAmerica,Oregon,forest,pagan,ncontinental,salishan,fur,Nehalem,5,1,3
8,America,NorthAmerica,California,plains,pagan,temperate,miwok,wine,Sacramento,2,2,7
9,America,NorthAmerica,California,mountain,pagan,temperate,miwok,gold,Monterey,4,1,5
10,America,NorthAmerica,California,mountain,pagan,temperate,takic,wool,Sierra Madre,4,1,4
11,America,NorthAmerica,California,plains,pagan,temperate,takic,grain,San Bernardino,3,2,5
12,America,CentralAmerica,Sonora,mountain,pagan,desertic,hokan,fish,Ensenada,8,1,1
13,America,CentralAmerica,Sonora,mountain,pagan,desertic,hokan,fish,Baja,8,1,1
14,America,NorthAmerica,Nevada,desert,pagan,desertic,hokan,salt,Salton,9,1,1
15,America,CentralAmerica,Sonora,desert,pagan,desertic,hokan,wool,Altar,9,1,1
16,America,NorthAmerica,Nevada,desert,pagan,desertic,hokan,wool,Canyon,9,1,1
17,America,CentralAmerica,Sonora,desert,pagan,desertic,tarahumara,wool,Empalme,9,1,1
18,America,NorthAmerica,Nevada,mountain,pagan,desertic,apache,wool,Arizona,9,1,1
19,America,NorthAmerica,Nevada,mountain,pagan,temperate,apache,wool,Pinalero,8,1,1
20,America,CentralAmerica,Sonora,desert,pagan,desertic,tarahumara,wool,Chihuahua,7,1,1
21,America,CentralAmerica,Sonora,mountain,pagan,desertic,tarahumara,grain,Mazatlan,7,1,1
22,America,NorthAmerica,Texas,plains,pagan,temperate,apache,wool,El Paso,7,1,2
23,America,CentralAmerica,Sonora,desert,pagan,desertic,tarahumara,wool,Coahuilha,7,1,1
24,America,CentralAmerica,Azteca,mountain,pagan,temperate,aztec,gold,Jalisco,3,1,5
25,America,CentralAmerica,Azteca,plains,pagan,temperate,aztec,gold,Saltillo,6,1,2
26,America,CentralAmerica,Azteca,mountain,pagan,temperate,aztec,gold,Michoagan,3,3,7
27,America,CentralAmerica,Azteca,mountain,pagan,temperate,aztec,gold,Tenochtitlan,3,3,8
28,America,CentralAmerica,Azteca,plains,pagan,temperate,aztec,sugar,Tampico,6,2,3
29,America,CentralAmerica,Azteca,plains,pagan,tropical,zapotec,sugar,Tlaxcala,4,2,5
30,America,CentralAmerica,Azteca,plains,pagan,tropical,zapotec,fish,Atlixco,4,1,5
31,America,CentralAmerica,Azteca,mountain,pagan,tropical,zapotec,grain,Tehuantepec,3,1,3
32,America,CentralAmerica,Azteca,marsh,pagan,tropical,mayan,sugar,Tehuacan,5,1,5
33,America,CentralAmerica,Costa Rica,mountain,pagan,tropical,mayan,coffee,Guatemala,4,1,3
34,America,CentralAmerica,Costa Rica,marsh,pagan,tropical,mayan,sugar,Campeche,6,1,4
35,America,CentralAmerica,Costa Rica,forest,pagan,tropical,mayan,fish,Yucatan,7,1,2
36,America,CentralAmerica,Costa Rica,forest,pagan,tropical,mesoamerican,coffee,Honduras,5,1,3
37,America,CentralAmerica,Costa Rica,marsh,pagan,tropical,mesoamerican,coffee,Nicaragua,6,1,3
38,America,CentralAmerica,Costa Rica,marsh,pagan,tropical,chibcha,naval supplies,Mosquitos,7,1,1
39,America,CentralAmerica,Panama,marsh,pagan,tropical,chibcha,fish,Isthmus,6,1,2
40,America,NorthAmerica,Texas,plains,pagan,temperate,apache,wool,Pecos,6,1,2
41,America,NorthAmerica,Texas,plains,pagan,temperate,karankawa,grain,Rio Grande,4,1,3
42,America,NorthAmerica,Texas,plains,pagan,temperate,apache,grain,Concho,5,1,2
43,America,NorthAmerica,Texas,marsh,pagan,temperate,karankawa,sugar,Matagorda,5,1,3
44,America,NorthAmerica,Louisiane,plains,pagan,temperate,apache,grain,Wichita,5,1,3
45,America,NorthAmerica,Louisiane,marsh,pagan,temperate,creek,cotton,Bayou,6,1,5
46,America,NorthAmerica,Louisiane,marsh,pagan,temperate,creek,cotton,Biloxi,6,1,5
47,America,NorthAmerica,Louisiane,marsh,pagan,temperate,creek,cotton,Mobile,4,1,5
48,America,NorthAmerica,Florida,marsh,pagan,temperate,creek,cotton,Talahassee,5,1,4
49,America,NorthAmerica,Florida,marsh,pagan,temperate,creek,sugar,Seminole,7,1,2
50,America,NorthAmerica,Florida,marsh,pagan,tropical,creek,fish,Everglades,9,1,1
51,America,NorthAmerica,Louisiane,plains,pagan,temperate,mississippian,cotton,Arkansas,5,1,3
52,America,NorthAmerica,Louisiane,forest,pagan,ncontinental,cherokee,cotton,Yazoo,5,1,4
53,America,NorthAmerica,Louisiane,forest,pagan,temperate,cherokee,cotton,Tuscaloosa,5,2,4
54,America,NorthAmerica,Georgia,marsh,pagan,temperate,creek,cotton,Savannah,5,2,5
