ID,R,G,B,hex,count
0001,023,047,071,#172f47,0053
0002,046,094,143,#2e5e8f,0023
0003,069,142,215,#458ed7,0076
0004,092,189,037,#5cbd25,0052
0005,115,237,108,#73ed6c,0081
0006,138,034,180,#8a22b4,0054
0007,161,082,002,#a15202,0045
0008,184,129,074,#b8814a,0045
0009,208,177,146,#d0b192,0037
0010,231,224,217,#e7e0d9,0040
0011,004,022,039,#041627,0053
0012,027,069,111,#1b456f,0038
0013,050,116,183,#3274b7,0047
0014,073,164,005,#49a405,0048
0015,096,211,076,#60d34c,0059
0016,119,009,148,#770994,0049
0017,143,056,220,#8f38dc,0055
0018,166,104,042,#a6682a,0051
0019,189,151,113,#bd9771,0047
0020,212,199,185,#d4c7b9,0077
0021,235,246,007,#ebf607,0063
0022,008,044,079,#082c4f,0046
0023,031,091,151,#1f5b97,0081
0024,054,138,222,#368ade,0058
0025,078,186,044,#4eba2c,0064
0026,101,233,116,#65e974,0061
0027,124,031,188,#7c1fbc,0054
0028,147,078,010,#934e0a,0048
0029,170,126,081,#aa7e51,0057
0030,193,173,153,#c1ad99,0053
0031,216,221,225,#d8dde1,0035
0032,239,018,047,#ef122f,0039
0033,013,066,119,#0d4277,0043
0034,036,113,190,#2471be,0044
0035,059,160,012,#3ba00c,0039
0036,082,208,084,#52d054,0053
0037,105,005,156,#69059c,0047
0038,128,053,227,#8035e3,0026
0039,151,100,049,#976431,0041
0040,174,148,121,#ae9479,0042
0041,198,195,193,#c6c3c1,0051
0042,221,243,015,#ddf30f,0044
0043,244,040,086,#f42856,0048
0044,017,088,158,#11589e,0039
0045,040,135,230,#2887e6,0053
0046,063,182,052,#3fb634,0043
0047,086,230,124,#56e67c,0024
0048,109,027,195,#6d1bc3,0034
0049,133,075,017,#854b11,0035
0050,156,122,089,#9c7a59,0038
0051,179,170,161,#b3aaa1,0055
0052,202,217,233,#cad9e9,0052
0053,225,015,054,#e10f36,0032
0054,248,062,126,#f83e7e,0038
0055,021,110,198,#156ec6,0041
0056,044,157,020,#2c9d14,0047
0057,068,204,091,#44cc5b,0070
0058,091,002,163,#5b02a3,0072
0059,114,049,235,#7231eb,0040
0060,137,097,057,#896139,0045
0061,160,144,129,#a09081,0035
0062,183,192,200,#b7c0c8,0025
0063,206,239,022,#ceef16,0021
0064,229,037,094,#e5255e,0036
0065,002,084,166,#0254a6,0036
0066,026,132,238,#1a84ee,0035
0067,049,179,059,#31b33b,0045
0068,072,227,131,#48e383,0019
0069,095,024,203,#5f18cb,0019
0070,118,071,025,#764719,0023
0071,141,119,097,#8d7761,0023
0072,164,166,168,#a4a6a8,0044
0073,187,214,240,#bbd6f0,0064
0074,211,011,062,#d30b3e,0058
0075,234,059,134,#ea3b86,0081
0076,007,106,205,#076acd,0075
0077,030,154,027,#1e9a1b,0046
0078,053,201,099,#35c963,0096
0079,076,249,171,#4cf9ab,0059
0080,099,046,243,#632ef3,0048
0081,122,093,064,#7a5d40,0039
0082,146,141,136,#928d88,0028
0083,169,188,208,#a9bcd0,0018
0084,192,236,030,#c0ec1e,0021
0085,215,033,102,#d72166,0012
0086,238,081,173,#ee51ad,0019
0087,011,128,245,#0b80f5,0018
0088,034,176,067,#22b043,0014
0089,057,223,139,#39df8b,0017
0090,081,021,211,#5115d3,0013
0091,104,068,032,#684420,0013
0092,127,115,104,#7f7368,0029
0093,150,163,176,#96a3b0,0038
0094,173,210,248,#add2f8,0061
0095,196,008,069,#c40845,0054
0096,219,055,141,#db378d,0064
0097,242,103,213,#f267d5,0026
0098,016,150,035,#109623,0029
